iter	Passed	Remaining
0	147	147531
1	149	74356
2	150	49999
3	151	37814
4	153	30522
5	154	25666
6	156	22188
7	157	19565
8	159	17536
9	160	15910
10	162	14598
11	163	13495
12	165	12577
13	167	11773
14	168	11089
15	170	10484
16	171	9939
17	173	9455
18	174	9031
19	176	8646
20	178	8299
21	179	7981
22	181	7697
23	182	7426
24	184	7188
25	185	6965
26	187	6754
27	189	6577
28	190	6394
29	192	6225
30	194	6065
31	195	5914
32	196	5772
33	198	5636
34	200	5516
35	201	5396
36	203	5284
37	204	5180
38	206	5078
39	207	4980
40	209	4889
41	210	4800
42	211	4716
43	213	4633
44	214	4557
45	216	4487
46	217	4415
47	219	4350
48	220	4284
49	222	4222
50	223	4160
51	225	4104
52	226	4051
53	228	3999
54	229	3949
55	231	3901
56	232	3852
57	234	3806
58	235	3761
59	237	3716
60	238	3674
61	240	3634
62	241	3596
63	243	3557
64	244	3520
65	246	3492
66	248	3459
67	249	3425
68	251	3392
69	252	3358
70	254	3327
71	255	3296
72	257	3266
73	258	3236
74	260	3208
75	261	3184
76	263	3158
77	264	3131
78	266	3107
79	267	3081
80	269	3056
81	270	3033
82	272	3009
83	273	2987
84	275	2966
85	277	2949
86	279	2931
87	280	2911
88	282	2890
89	284	2871
90	285	2851
91	286	2831
92	288	2812
93	289	2794
94	291	2778
95	293	2762
96	294	2744
97	296	2727
98	297	2711
99	299	2696
100	300	2678
101	302	2663
102	303	2647
103	305	2630
104	306	2616
105	308	2601
106	309	2587
107	311	2572
108	312	2558
109	314	2544
110	315	2529
111	317	2515
112	318	2501
113	320	2489
114	322	2479
115	324	2472
116	326	2463
117	328	2453
118	329	2442
119	331	2431
120	332	2419
121	334	2406
122	335	2395
123	337	2384
124	339	2374
125	340	2364
126	342	2353
127	343	2342
128	345	2331
129	346	2321
130	348	2312
131	350	2304
132	352	2296
133	355	2296
134	357	2288
135	358	2280
136	361	2274
137	363	2267
138	364	2259
139	366	2250
140	367	2240
141	369	2231
142	371	2225
143	372	2216
144	374	2207
145	375	2198
146	377	2188
147	378	2180
148	380	2171
149	381	2163
150	383	2154
151	385	2148
152	386	2141
153	388	2134
154	389	2126
155	391	2118
156	393	2110
157	394	2102
158	396	2096
159	397	2088
160	399	2081
161	401	2075
162	402	2068
163	404	2062
164	406	2055
165	407	2047
166	409	2040
167	410	2033
168	412	2027
169	413	2020
170	415	2014
171	417	2008
172	418	2001
173	420	1995
174	421	1988
175	423	1981
176	424	1974
177	426	1968
178	427	1962
179	429	1955
180	430	1949
181	432	1943
182	433	1937
183	435	1931
184	436	1925
185	438	1919
186	440	1913
187	441	1907
188	443	1900
189	444	1895
190	446	1891
191	447	1885
192	449	1879
193	451	1874
194	453	1870
195	454	1864
196	456	1859
197	457	1853
198	459	1848
199	460	1843
200	463	1842
201	465	1837
202	466	1833
203	468	1828
204	470	1823
205	471	1818
206	473	1813
207	474	1807
208	476	1803
209	478	1798
210	479	1793
211	481	1789
212	483	1785
213	484	1780
214	486	1775
215	487	1770
216	489	1765
217	490	1760
218	492	1757
219	494	1753
220	496	1749
221	497	1745
222	499	1740
223	501	1735
224	502	1731
225	504	1726
226	505	1721
227	507	1717
228	509	1714
229	510	1710
230	512	1706
231	514	1701
232	515	1697
233	517	1692
234	518	1688
235	520	1683
236	521	1679
237	523	1675
238	525	1672
239	526	1667
240	528	1662
241	529	1658
242	530	1653
243	532	1649
244	533	1645
245	535	1640
246	536	1636
247	538	1632
248	540	1629
249	541	1625
250	543	1621
251	544	1616
252	546	1612
253	547	1608
254	549	1604
255	550	1600
256	552	1596
257	554	1593
258	555	1589
259	557	1585
260	558	1581
261	560	1577
262	561	1573
263	563	1569
264	564	1565
265	565	1561
266	567	1557
267	569	1554
268	570	1550
269	572	1547
270	573	1543
271	575	1539
272	576	1535
273	578	1531
274	579	1527
275	581	1524
276	582	1520
277	584	1517
278	585	1514
279	587	1510
280	589	1507
281	590	1503
282	592	1500
283	593	1496
284	594	1492
285	596	1488
286	597	1484
287	598	1480
288	600	1477
289	601	1473
290	603	1469
291	604	1465
292	605	1461
293	607	1458
294	608	1454
295	609	1450
296	611	1446
297	612	1443
298	614	1439
299	615	1436
300	617	1433
301	618	1429
302	619	1426
303	621	1422
304	622	1419
305	624	1415
306	625	1412
307	627	1409
308	628	1405
309	630	1402
310	631	1399
311	633	1396
312	634	1392
313	636	1389
314	637	1386
315	639	1383
316	640	1380
317	642	1377
318	643	1374
319	645	1371
320	647	1368
321	648	1365
322	649	1362
323	651	1358
324	652	1355
325	653	1352
326	655	1349
327	657	1346
328	658	1343
329	660	1340
330	662	1338
331	663	1334
332	664	1331
333	666	1329
334	668	1326
335	669	1323
336	671	1320
337	672	1317
338	674	1314
339	675	1311
340	677	1309
341	679	1306
342	680	1303
343	682	1300
344	683	1297
345	685	1294
346	686	1292
347	688	1290
348	690	1288
349	692	1285
350	693	1282
351	695	1280
352	696	1277
353	698	1274
354	699	1271
355	701	1268
356	702	1266
357	704	1263
358	705	1260
359	707	1257
360	708	1254
361	710	1252
362	711	1249
363	713	1246
364	714	1243
365	716	1241
366	717	1238
367	719	1235
368	720	1232
369	722	1229
370	724	1227
371	725	1224
372	727	1222
373	728	1219
374	730	1216
375	731	1214
376	732	1211
377	734	1208
378	736	1206
379	737	1203
380	739	1201
381	740	1198
382	742	1195
383	743	1193
384	745	1190
385	746	1187
386	748	1185
387	749	1182
388	751	1179
389	752	1177
390	754	1174
391	755	1172
392	757	1169
393	758	1167
394	760	1164
395	761	1162
396	763	1159
397	764	1156
398	766	1154
399	767	1151
400	769	1148
401	770	1146
402	772	1143
403	773	1141
404	775	1138
405	776	1136
406	778	1133
407	779	1131
408	781	1128
409	782	1126
410	784	1124
411	786	1122
412	787	1119
413	789	1117
414	790	1114
415	792	1112
416	794	1110
417	795	1107
418	797	1105
419	798	1102
420	800	1101
421	802	1099
422	804	1096
423	805	1094
424	807	1091
425	808	1089
426	810	1087
427	811	1084
428	813	1082
429	814	1079
430	816	1078
431	818	1075
432	819	1073
433	821	1071
434	822	1068
435	824	1066
436	826	1064
437	827	1061
438	829	1059
439	830	1057
440	832	1055
441	834	1052
442	835	1050
443	837	1048
444	838	1045
445	840	1043
446	841	1041
447	843	1038
448	844	1036
449	846	1034
450	848	1032
451	849	1030
452	851	1027
453	852	1025
454	854	1023
455	855	1020
456	857	1018
457	859	1016
458	860	1014
459	862	1012
460	863	1010
461	865	1007
462	866	1005
463	868	1002
464	869	1000
465	871	998
466	872	996
467	874	993
468	875	991
469	877	989
470	878	987
471	880	984
472	881	982
473	883	980
474	885	978
475	886	975
476	887	973
477	889	971
